name,static_instructions_case_int-bounds_O0,dynamic_instructions_case_int-bounds_O0
extr_linuxdriversscsistorvsc_drv.c_do_logging.c,10,10
extr_linuxdriversclksunxi-ngccu_frac.c_ccu_frac_helper_has_rate.c,15,15
extr_numpynumpycoresrcnpymathhalffloat.c_npy_half_spacing.c,29,29
extr_linuxdriversnetethernetqlogicqedqed_ooo.h_qed_ooo_add_new_buffer.c,10,10
extr_linuxdriverspcipcie..pci.h_pci_proc_attach_device.c,6,6
extr_linuxarchx86cryptoaegis128l-aesni-glue.c_crypto_aegis128l_aesni_setauthsize.c,14,14
extr_linuxdriversntbntb_transport.c_ntb_transport_link_query.c,11,11
extr_linuxdriversmiscmeihw-me.c_mei_me_pg_in_transition.c,14,14
extr_linuxdriversgpudrmbridgesynopsysdw-hdmi.c_dw_hdmi_i2c_func.c,7,7
extr_darwin-xnubsdvfskpi_vfs.c_vnode_vtype.c,7,7
extr_linuxdriversscsiipr.c_ipr_update_ata_class.c,15,15
extr_timescaledbsrcbgwjob.c_ts_bgw_job_set_unknown_job_type_hook.c,7,7
extr_linuxdriverstargettarget_core_sbc.c_sbc_get_device_type.c,6,6
extr_linuxdriversstagingrtlwifiphydmphydm_rainfo.c_odm_refresh_basic_rate_mask.c,5,5
extr_hashcatsrcmodulesmodule_11400.c_module_init.c,203,203
extr_reactossdklibfslibvfatlibcheckfat.c_cluster_start.c,14,14
extr_linuxdriversnetdsab53b53_priv.h_is5365.c,6,6
extr_linuxarchpowerpcplatformsps3system-bus.c_ps3_ioc0_free_mmio_region.c,6,6
extr_linuxkerneltracetrace_events.c_system_refcount.c,7,7
extr_linuxdriverspinctrlpinctrl-at91-pio4.c_atmel_gpio_irq_ack.c,5,5
extr_reactossdklib3rdpartylibxml2xmlIO.c_xmlRegisterInputCallbacks.c,14,14
extr_mongoosesrcmg_net_if_null.c_mg_null_if_tcp_recv.c,8,8
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_GRAS_SU_DEPTH_BUFFER_INFO_DEPTH_FORMAT.c,9,9
extr_linuxdriverss390blockdasd_eer.c_dasd_eer_get_free_bytes.c,19,19
extr_kphp-kdbnewsnews-import-dump.c_valid_type.c,12,12
extr_linuxtoolsperfutilsort.c_sort__thread_cmp.c,12,12
extr_linuxdriversmtdnandrawbrcmnandbrcmnand.c_brcmnand_cs_offset.c,39,39
extr_linuxdriversmediai2ctvaudio.c_tea6320_volume.c,11,11
extr_linuxdriversclkdavincida8xx-cfgchip.c_da8xx_usb0_clk48_round_rate.c,8,8
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_HLSQ_CL_NDRANGE_5_SIZE_Z.c,9,9
extr_nodemcu-firmwareappcoapcoap.c_coap_option_nibble.c,14,14
extr_linuxfscifscifsglob.h_cifs_net_ns.c,6,6
extr_linuxnetcoresock.c_assign_proto_idx.c,5,5
extr_linuxdriversnetethernetmellanoxmlxswpci.c_mlxsw_pci_cq_pre_init.c,14,14
extr_reactosdriversfilesystemsbtrfszstdzstd_compress.c_ZSTD_equivalentCParams.c,36,36
extr_libsodiumsrclibsodiumcrypto_signed25519ref10sign.c__crypto_sign_ed25519_clamp.c,17,17
extr_reactosdllcplsysdmsmbios.c_TrimNonPrintable.c,22,22
extr_linuxarchs390netbpf_jit_comp.c_get_start.c,12,12
extr_SoftEtherVPNsrcMayaquaStr.c_FourBitToHex.c,17,17
extr_linuxdriversi2cbussesi2c-riic.c_riic_func.c,7,7
extr_linuxdriversscsibnx2ibnx2i_hwi.c_bnx2i_power_of2.c,16,16
extr_linuxdriversgpudrmexynosexynos_drm_fbdev.h_exynos_drm_fbdev_fini.c,5,5
extr_linuxdriversnetethernetmellanoxmlx5coreen_tc.h_mlx5e_tc_nic_cleanup.c,5,5
extr_obs-studiolibobsgraphicsgraphics.h_gs_get_format_bpp.c,13,13
extr_linuxdriversmediaplatformti-vpevpdma_priv.h_cfd_get_class.c,10,10
extr_labenginecodegameai_main.c_AngleDifference.c,19,19
extr_curllibmulti.c_multi_freeamsg.c,6,6
extr_libgit2srcobject.c_check_type_combination.c,12,12
extr_linuxfsubifsdebug.c_get_key_fmt.c,11,11
extr_linuxdriversntbntb_transport.c_ntb_transport_qp_num.c,11,11
extr_linuxdriversgpudrmamdamdgpuamdgpu_display.c_amdgpu_display_supported_domains.c,8,8
extr_linuxdriversgpudrmmsmdispmdp5mdp5.xml.h_MDP5_WB_DST_OP_MODE_CHROMA_DWN_SAMPLE_V_MTHD.c,9,9
extr_linuxdriversnetethernetchelsiocxgb4cxgb4_ethtool.c_from_fw_port_mod_type.c,13,13
extr_linuxvirtkvmarmvgicvgic.h_irq_is_pending.c,19,19
extr_linuxdriversgpudrmvgemvgem_fence.c_vgem_fence_get_driver_name.c,6,6
extr_linuxdrivershidhid-picolcd.h_picolcd_init_framebuffer.c,6,6
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_TEX_SAMP_2_BCOLOR_OFFSET.c,9,9
extr_darwin-xnuosfmkkernthread.c_thread_enable_send_importance.c,14,14
extr_linuxdriversgpudrmmsmadrenoa6xx.xml.h_A6XX_TEX_SAMP_1_COMPARE_FUNC.c,9,9
extr_linuxdriversnetethernetsmscsmc91c92_cs.c_pcmcia_osi_mac.c,17,17
extr_linuxnetnetfilteripsetip_set_hash_netiface.c_hash_netiface6_data_set_flags.c,11,11
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_src_Slot_xt_flix64_slot1_encode.c,7,7
extr_linuxdriverswatchdogvia_wdt.c_wdt_ping.c,13,13
extr_linuxdriversmediaplatformsoc_camerasoc_scale_crop.c_move_and_crop_subrect.c,48,48
extr_linuxdriverspcicontrollerdwc....pci.h_pci_aer_clear_device_status.c,5,5
extr_linuxdriversnetethernetmellanoxmlxswspectrum.c_mlxsw_sp_set_rx_mode.c,5,5
extr_linuxdriversinfinibandhwqibqib_verbs.h_qib_num_vls.c,15,15
extr_linuxarchsparcnetbpf_jit_comp_64.c_is_simm13.c,11,11
extr_reactosdll3rdpartylibtifftif_dirread.c_TIFFReadDirEntryCheckRangeSbyteSlong8.c,12,12
extr_linuxdriverspinctrluniphierpinctrl-uniphier-ld11.c_uniphier_ld11_get_gpio_muxval.c,14,14
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_REG_A3XX_GRAS_CL_USER_PLANE.c,8,8
extr_linuxdriversmmchostsdhci-pci-core.c_ricoh_probe.c,16,16
extr_linuxdriversmisccxlapi.c_cxl_set_master.c,7,7
extr_linuxdriversnetethernetnetronomenfpnic..nfpcorenfp_nsp.h_nfp_eth_can_support_fec.c,12,12
extr_h2odepsmruby-jsonsrcparson.c_hex_char_to_int.c,24,24
extr_linuxdriversvideoconsoledummycon.c_dummycon_blank.c,8,8
extr_radare2shlrqnxsrccore.c_nto_send_init.c,26,26
extr_linuxfsxfsxfs_inode_item.h_xfs_inode_clean.c,21,21
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_SP_GS_PARAM_REG_TOTALGSOUTVAR.c,9,9
extr_linuxfsnfsblocklayout..pnfs.h_pnfs_commit_and_return_layout.c,6,6
extr_linuxdriverspinctrlintelpinctrl-baytrail.c_byt_get_pull_strength.c,14,14
extr_linuxdriversusbgadgetfile_storage.c_set_bulk_out_req_length.c,26,26
extr_linuxdriversinfinibandhwhfi1common.h_rhf_pkt_len.c,10,10
extr_linuxtoolsperfutiltarget.h_target__has_per_thread.c,17,17
extr_darwin-xnubsdnetinetmptcp_opt.c_mptcp_valid_mpcapable_common_opt.c,15,15
extr_linuxdriversi2cbussesscx200_acb.c_scx200_acb_func.c,10,10
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_mp_ioctl.c_oid_rt_pro_set_pwrstate_hdl.c,6,6
extr_linuxdriversgpudrmvmwgfxvmwgfx_so.c_vmw_view_id_ok.c,14,14
extr_linuxtoolsperfutilblock-range.h_block_range_iter__valid.c,13,13
extr_linuxdriversgpudrmmsmdispmdp5mdp5.xml.h_MDP5_LM_BLEND_OP_MODE_FG_ALPHA.c,9,9
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_GRAS_SU_POINT_MINMAX_MIN.c,13,13
extr_linuxarchx86netbpf_jit_comp.c_is_uimm32.c,10,10
extr_labenginecodeqcommonq_shared.c_Com_Clamp.c,17,17
extr_linuxdriversi2cbussesi2c-stm32f7.c_stm32f7_i2c_is_addr_match.c,23,23
extr_linuxdriversusbdwc2params.c_dwc2_set_s3c6400_params.c,9,9
extr_linuxdriversmediai2csoc_cameratw9910.c_tw9910_enum_mbus_code.c,15,15
extr_reactosdlldirectxwined3dcompiler_43hlsl.yy.c_hlsl_set_lineno.c,7,7
extr_linuxtoolsperfutilevsel.c___perf_evsel__calc_id_pos.c,17,17
extr_linuxarchxtensakernelptrace.c_user_disable_single_step.c,10,10
extr_emscriptentestsbox2dfreeglutfreeglut_joystick.c_fghJoystickRawRead.c,23,23
extr_zstdprogramsbenchfn.c_BMK_isSuccessful_runOutcome.c,9,9
extr_linuxdriversisdngigasetser-gigaset.c_gigaset_write_room.c,15,15
extr_linuxdriversnetethernetcadencemacb.h_gem_has_ptp.c,14,14
extr_ccvlibccv_convnet.c__ccv_convnet_find_full_connect.c,12,12
extr_linuxdriversnfcnfcmrvlspi.c_nfcmrvl_spi_nci_open.c,6,6
extr_linuxarchx86netbpf_jit_comp32.c_is_imm8.c,15,15
extr_linuxdriversvideobacklightbacklight.c_backlight_register_fb.c,6,6
extr_radare2libranalpanal_sh.c_fpu_insn.c,12,12
extr_raspberry-pi-osexerciseslesson022rssrcprintf.c_a2d.c,24,24
extr_reactosdllwin32dbghelpcpu_arm64.c_arm64_stack_walk.c,8,8
extr_reactosbaseapplicationsnetworkftpfake.c_herror.c,6,6
extr_linuxsoundsocbcmbcm2835-i2s.c_bcm2835_i2s_volatile_reg.c,12,12
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_REG_A4XX_RBBM_CLOCK_HYST_RB_MARB_CCU_REG.c,8,8
extr_linuxsoundpcihdahda_beep.h_snd_hda_detach_beep_device.c,5,5
extr_linuxarchs390pcipci_clp.c_clp_misc_release.c,7,7
extr_linuxdriversgpudrmmsmdispdpu1dpu_rm.c_dpu_rm_get_mdp.c,7,7
extr_linuxmmpage_owner.c_get_page_owner.c,8,8
extr_linuxarchmipsmmc-r3k.c_r3k_flush_cache_mm.c,5,5
extr_linuxdriversdmaat_hdmac_regs.h_set_desc_eol.c,21,21
extr_linuxdriversmediai2ctvp7002.c_tvp7002_enum_dv_timings.c,14,14
extr_linuxdriversinfinibandcoreucm.c_ib_ucm_new_cm_id.c,17,17
extr_emscriptentestsopenjpeglibopenjpegjpt.c_jpt_init_msg_header.c,19,19
extr_radare2shlrtcctcc.h_is_space.c,27,27
extr_linuxkernelschedrt.c_need_pull_rt_task.c,7,7
extr_linuxdriversdmaqcom..dmaengine.h_dma_cookie_init.c,11,11
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_rsr_ccount_Slot_inst_encode.c,7,7
extr_radare2librasmarchxtensagnuxtensa-modules.c_Operand_ars_entry_encode.c,14,14
extr_linuxsoundsoccodecstwl4030.c_twl4030_can_write_to_chip.c,15,15
extr_php-srcZendzend_ts_hash.c_end_read.c,5,5
extr_linuxdriversusbrenesas_usbhsmod_host.c_usbhsh_host_stop.c,5,5
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_REG_A3XX_VFD_DECODE.c,8,8
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_HLSQ_CS_CONTROL_REG_SHADEROBJOFFSET.c,9,9
extr_linuxdriversnetethernetbroadcombnx2xbnx2x_sriov.h_bnx2x_vfpf_config_mac.c,9,9
extr_linuxdriversisdnhardwareeicondivasproc.c_divas_close.c,7,7
extr_linuxfsreiserfsitem_ops.c_sd_create_vi.c,12,12
extr_linuxdriversusbhostxhci-dbgcap.h_xhci_dbc_exit.c,5,5
extr_opensslcryptoececp_nistputil.c_ec_GFp_nistp_recode_scalar_bits.c,41,41
extr_redissrclistpack.c_lpEncodeBacklen.c,17,17
extr_linuxdriversvideofbdevimxfb.c_is_imx1_fb.c,11,11
extr_linuxarchshboardsmach-sdk7786gpio.c_usrgpir_gpio_direction_input.c,7,7
extr_linuxtoolsperfarch..utilevent.h_perf_sample__synth_ptr.c,8,8
extr_linuxdriversmdpersistent-datadm-space-map-metadata.c_sm_bootstrap_destroy.c,5,5
extr_linuxdriversmiscsgi-grugruhandles.h_gru_chiplet_paddr.c,15,15
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_REG_A5XX_SP_VS_VPC_DST_REG.c,8,8
extr_hashcatsrcthread.c_myabort_runtime.c,22,22
extr_redissrcmodule.c_RM_AutoMemory.c,9,9
extr_linuxdriversusbdwc3debug.h_dwc3_gadget_event_type_string.c,14,14
extr_linuxdriverspcihotplug..pcieportdrv.h_pcie_aer_get_firmware_first.c,13,13
extr_reactossdklib3rdpartylibxml2xmlIO.c_xmlOutputBufferCreateFilenameDefault.c,10,10
extr_tmuxcmd-queue.c_cmdq_get.c,10,10
extr_linuxdriversusbserialcp210x.c_cp210x_gpio_init.c,6,6
extr_linuxdriversnetethernetintele1000e1000_main.c_e1000_fix_features.c,15,15
extr_linuxdriversnetethernetmicrelksz884x.c_set_tx_len.c,9,9
extr_linuxdriversgpuhost1xhwhw_host1x01_sync.h_host1x_sync_mlock_owner_ch_owns_v.c,8,8
extr_linuxdriversatmiphase.c_init_abr_vc.c,33,33
extr_linuxkerneleventsinternal.h_rb_toggle_paused.c,10,10
extr_linuxdriversgpudrmamdpowerplaysmumgrci_smumgr.c_ci_get_dependency_volt_by_clk.c,36,36
extr_linuxdriverscharagpintel-agp.c_intel_820_tlbflush.c,5,5
extr_linuxtoolstestingselftestskvmsync_regs_test.c_compare_vcpu_events.c,6,6
extr_linuxdriversgpudrmmsmadrenoadreno_pm4.xml.h_CP_SET_DRAW_STATE__2_ADDR_HI.c,9,9
extr_linuxdriversclksunxi-ngccu_mp.c_ccu_mp_find_best.c,60,17613
extr_rufussrcsyslinuxlibfatulint.h_read8.c,7,7
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_TEX_CONST_4_LAYERSZ.c,10,10
extr_darwin-xnuosfmkprofilingprofile-mk.c_gprofprobe.c,7,7
extr_linuxdriversnetethernetsamsungsxgbesxgbe_desc.c_sxgbe_get_rx_ctxt_owner.c,7,7
extr_linuxdriversthermalof-thermal.c_of_thermal_get_trip_points.c,14,14
extr_linuxdriversgpudrmamdamdgpuamdgpu_object.h_amdgpu_sa_bo_gpu_addr.c,10,10
extr_linuxdriversmediatunersxc5000.c_xc5000_assign_firmware.c,19,19
extr_hashcatsrcmodulesmodule_17800.c_module_init.c,203,203
extr_linuxdriversmmchostmeson-gx-mmc.c_meson_mmc_timing_is_ddr.c,19,19
extr_linuxdriversmiscvmw_vmcivmci_handle_array.c_handle_arr_calc_size.c,8,8
extr_darwin-xnuosfmkkernthread.c_thread_clear_honor_qlimit.c,10,10
extr_hashcatsrcmodulesmodule_20011.c_module_init.c,203,203
extr_darknetsrccrop_layer.c_backward_crop_layer_gpu.c,6,6
extr_linuxsamplesbpfxdp_monitor_user.c_calc_period.c,17,17
extr_linuxfsocfs2alloc.c_ocfs2_refcount_tree_extent_contig.c,8,8
extr_linuxdriversmddm-region-hash.c_dm_rh_get_region_size.c,7,7
extr_macvimsrcgui_photon.c_gui_mch_toggle_tearoffs.c,5,5
extr_linuxsoundcoretimer.c_snd_timer_user_copy_id.c,32,32
extr_linuxmmslob.c___kmem_cache_release.c,5,5
extr_linuxdriversnetwirelessatmelat76c50x-usb.c_at76_is_505a.c,13,13
extr_linuxnetbridgebr_private.h_nbp_get_num_vlan_infos.c,7,7
extr_linuxdriversusbmusbmusb_gadget.h_musb_g_suspend.c,5,5
extr_darwin-xnuosfmkkernthread_policy.c_canonicalize_resource_and_type.c,16,16
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_TEX_SAMP_0_WRAP_R.c,9,9
extr_php-srcsapifpmfpmzlog.c_zlog_stream_set_wrapping.c,13,13
extr_linuxdriversgpudrmi915i915_pmu.h_i915_pmu_gt_unparked.c,5,5
extr_linuxdriversgpudrmamddisplaydcdce110dce110_hw_sequencer.c_translate_to_dto_source.c,14,14
extr_obs-studiolibobs-openglgl-subsystem.h_convert_filter.c,19,19
extr_linuxdriversgpudrmi915intel_dp.c_skl_get_aux_clock_divider.c,11,11
extr_linuxfscifscifsglob.h_CIFS_SB.c,7,7
extr_FFmpeglibavcodecx86dirac_dwt_init.c_ff_spatial_idwt_init_x86.c,6,6
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_HLSQ_CS_CNTL_0_LOCALIDREGID.c,9,9
extr_linuxdriverswatchdogwatchdog_pretimeout.h_watchdog_pretimeout_governor_get.c,8,8
extr_linuxfscifscifsfs.h_cifs_set_time.c,9,9
extr_linuxdriversnetwirelessathath9kdebug.h_ath_debug_rate_stats.c,7,7
extr_linuxarchpowerpcplatformsps3spu.c_resource_allocation_enable_get.c,6,6
extr_hashcatsrcmodulesmodule_16801.c_module_init.c,203,203
extr_opensslcryptodhdh_lib.c_DH_clear_flags.c,11,11
extr_linuxdriversmisccxlapi.c_cxl_fops_get_context.c,7,7
extr_emscriptentestssqlitesqlite3.c_et_getdigit.c,31,31
extr_darwin-xnubsdnetpktschedpktsched_tcq.c_tcq_style.c,6,6
extr_linuxdriversstagingcomedicomedidev.h_comedi_check_trigger_arg_max.c,18,18
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_GRAS_SC_WINDOW_SCISSOR_BR_X.c,9,9
extr_obs-studiodepsgladsrcglad_wgl.c_find_coreWGL.c,7,7
extr_curllibstrerror.c_curl_share_strerror.c,14,14
extr_linuxdriversstagingrtl8192ertl8192er8192E_dev.c__rtl92e_rate_mgn_to_hw.c,15,15
extr_linuxdriverssocfslqeucc.c_ucc_get_tdm_rx_clk.c,14,14
extr_mimikatzmodulessqlite3_omit.c_unixModeBit.c,22,22
extr_linuxdriversiiopressurehp03.c_hp03_is_volatile_reg.c,7,7
extr_linuxdriversgpudrmamddisplaydcdcedce_clocks.c_dentist_get_divider_from_did.c,30,30
extr_linuxdriversttyvtselection.c_store_utf8.c,15,15
extr_linuxfsdax.c_dax_radix_order.c,11,11
extr_linuxnetbluetoothl2cap_sock.c_l2cap_sock_state_change_cb.c,18,18
extr_linuxarcharmmach-omap2prminst44xx.c_omap4_prminst_set_prm_dev_inst.c,7,7
extr_linuxdriversmediausbdvb-usb-v2mxl111sf-tuner.c_mxl111sf_tuner_get_frequency.c,14,14
extr_linuxdriverspinctrlnomadik..pinconf.h_pinconf_init_device_debugfs.c,6,6
extr_linuxdriversnetethernetbroadcombcm63xx_enet.c_bcm_enet_port_is_rgmii.c,10,10
extr_linuxkernelkprobes.c_pre_handler_kretprobe.c,7,7
extr_linuxdriversregulatortps51632-regulator.c_is_write_reg.c,12,12
extr_reactosbaseapplicationsmstscuimain.c_ui_triblt.c,15,15
extr_linuxdriversmediaplatformti-vpevpdma_priv.h_dtd_get_max_width.c,10,10
extr_linuxdriversgpudrmmsmadrenoa6xx.xml.h_A6XX_SP_FS_CTRL_REG0_FULLREGFOOTPRINT.c,9,9
extr_linuxdriverspcipci.h_pci_remove_firmware_label_files.c,5,5
extr_linuxdrivershidwacom_sys.c_wacom_set_default_phy.c,24,24
extr_darwin-xnulibsyscallmachmachmach_right.h_mach_right_recv.c,8,8
extr_linuxdriversgpudrmamdamdgpuvega10_ih.c_vega10_ih_is_idle.c,6,6
extr_linuxdriversmediaplatformdavinciisif.c_isif_close.c,8,8
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_SP_GS_CONFIG_SHADEROBJOFFSET.c,9,9
extr_kphp-kdbvkextcrc32.c_xmult.c,13,13
extr_linuxdriversgpudrmamddisplaydcdcn10dcn10_hubp.c_hubp1_get_lines_per_chunk.c,13,13
extr_linuxdriversmediapcitw68tw68-video.c_format_by_fourcc.c,11,11
extr_hashcatsrcemu_general.c_get_local_id.c,6,6
extr_linuxnettipccore.h_tipc_hashfn.c,9,9
extr_linuxarchmipscavium-octeondma-octeon.c___phys_to_dma.c,7,7
extr_linuxdriversmediapcibt8xxdst.c_dst_set_inversion.c,22,22
extr_linuxarchx86mmdump_pagetables.c_effective_prot.c,15,15
extr_linuxdriversgpudrmmsmadrenoa6xx.xml.h_A6XX_CX_DBGC_CFG_DBGBUS_BYTEL_1_BYTEL10.c,9,9
extr_linuxdriversgpudrmpanelpanel-samsung-s6e8aa0.c_s6e8aa0_disable.c,6,6
extr_linuxdriversisdngigasetusb-gigaset.c_gigaset_reinitbcshw.c,5,5
extr_radare2librasmarchtms320c55x_plushashtable.c_get_hashfunc_90.c,29,29
extr_emscriptentestsopenjpeglibopenjpegmqc.c_mqc_bypass_init_enc.c,9,9
extr_linuxdriversmdbcachebset.h_bch_keylist_reset.c,9,9
extr_linuxsounddriversmtpav.c_translate_subdevice_to_hwport.c,37,37
extr_hashcatsrcconvert.c_base32_to_int.c,20,20
extr_linuxdriversnetwirelessrealtekrtl8192cuos_deposdep_service.c_rtw_mdelay_os.c,5,5
extr_linuxdriversthermalimx_thermal.c_imx_get_trip_temp.c,20,20
extr_linuxtoolstestingselftestsvmuserfaultfd.c_noop_alias_mapping.c,7,7
extr_linuxsoundsoccodecshdac_hdmi.c_hdac_hdmi_pin2port.c,8,8
extr_linuxdriversinputmousealps.c_alps_get_mt_count.c,11,11
extr_linuxtoolsperftestsfdarray.c_fdarray__init_revents.c,16,16
extr_linuxdriversvideofbdevbt431.h_bt431_get_value.c,7,7
extr_linuxdriversmddm.c_dm_kobject.c,6,6
extr_opensslcryptobiobio_lib.c_BIO_set_flags.c,10,10
extr_linuxdriverspinctrlmediatek..pinmux.h_pinmux_free_gpio.c,7,7
extr_linuxdriversmediai2cadv7180.c_adv7180_g_tvnorms.c,10,10
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_min_Slot_xt_flix64_slot0_encode.c,7,7
extr_radare2librasmpasm_cris_gnu.c_symbol_at_address.c,7,7
extr_jqsrcexecute.c_stack_get_pos.c,12,12
extr_linuxdriversgpuhost1xcdma.c_host1x_pushbuffer_pop.c,17,17
extr_linuxarchpowerpckvmtiming.h_kvmppc_create_vcpu_debugfs.c,6,6
extr_linuxdriversttyserialuartlite.c_ulite_break_ctl.c,6,6
extr_linuxdriverstargetsbpsbp_target.c_sbp_queue_tm_rsp.c,5,5
extr_lua-nginx-moduletdatafake-delayed-load-modulengx_http_lua_fake_delayed_load_module.c_ngx_http_lua_fake_delayed_load_function.c,6,6
extr_linuxsoundpciasihpihpios.h_hpios_locked_mem_get_virt_addr.c,11,11
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_srai_Slot_xt_flix64_slot0_encode.c,7,7
extr_linuxdrivershidhid-picolcd.h_picolcd_exit_lcd.c,5,5
extr_darwin-xnubsdnetpktschedpktsched_fq_codel.c_fq_if_service_to_priority.c,22,22
extr_hashcatsrcmodulesmodule_15000.c_module_init.c,203,203
extr_emscriptentestsnbody-javaorg_xmlvm_runtime_Mutex.c___DELETE_org_xmlvm_runtime_Mutex.c,6,6
extr_nginxsrchttpmodulesngx_http_grpc_module.c_ngx_http_grpc_cleanup.c,5,5
extr_linuxdriversstagingsm750fbddk750_chip.c_sm750_format_pll_reg.c,45,45
extr_linuxdriversgpudrmmsmdispdpu1dpu_core_irq.c_dpu_debugfs_core_irq_init.c,7,7
extr_linuxlibstring_helpers.c_escape_null.c,16,16
extr_linuxfsxfsxfs_bmap_util.h_xfs_bmap_rtalloc.c,7,7
extr_opensslcryptoLPdir_nyi.c_LP_find_file_end.c,8,8
extr_linuxdriversi2cbussesi2c-imx-lpi2c.c_lpi2c_imx_func.c,8,8
extr_linuxmmslub.c_kmem_cache_has_cpu_partial.c,6,6
extr_linuxarchmipsfwarcarc_con.c_prom_console_setup.c,13,13
extr_opensslcryptoasn1asn1_lib.c_ASN1_STRING_length_set.c,9,9
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_VPC_VARYING_INTERP_MODE_C8.c,9,9
extr_libuvtesttest-watcher-cross-stop.c_send_cb.c,9,9
extr_openpilotphonelibsjsonsrcjson.c_tag_is_valid.c,10,10
extr_linuxarchpowerpcplatformspowernvpci-ioda.c_pnv_pci_init_ioda_msis.c,5,5
extr_emscriptentestsbox2dfreeglutfreeglut_cursor.c_fgSetCursor.c,9,9
extr_linuxdriversmediausbdvb-usbcinergyT2-fe.c_cinergyt2_fe_init.c,6,6
extr_radare2libranal..includer_endian.h_UT8_SUB.c,18,18
extr_linuxdriversnetethernetcaviumthunderthunder_bgx.c_phy_interface_mode.c,14,14
extr_linuxdriversbluetoothbtrtl.h_btrtl_download_firmware.c,8,8
extr_linuxfsnfsdnfs4proc.c_nfsd4_readlink_rsize.c,11,11
extr_linuxdriversinfinibandhwcxgb4t4.h_t4_rq_avail.c,10,10
extr_linuxdriversvideofbdevi810i810_main.h_i810_delete_i2c_busses.c,5,5
extr_kphp-kdbimageimage-data.c_thumbs2_want_resize.c,21,21
extr_linuxarchx86eventscore.c_x86_pmu_event_idx.c,16,16
extr_netdatawebserverweb_client.c_web_client_crock_socket.c,6,6
extr_linuxdriversmediausbstkwebcamstk-webcam.c_stk_vidioc_g_parm.c,14,14
extr_linuxkerneltracering_buffer.c_ring_buffer_normalize_time_stamp.c,13,13
extr_linuxdriversmiscsgi-xpxpnet.c_xpnet_dev_tx_timeout.c,9,9
extr_php-srcmainfastcgi.c_fcgi_set_in_shutdown.c,7,7
extr_linuxdriversideide-devsets.c_set_unmaskirq.c,20,20
extr_linuxdriversnfcst-ncicore.c_st_nci_get_rfprotocol.c,13,13
extr_kphp-kdbnetnet-udp-targets.c_send_error_bad_packet.c,7,7
extr_linuxkerneltracetrace_branch.c_get_incorrect_percent.c,23,23
extr_linuxarchia64mmhugetlbpage.c_pmd_huge.c,6,6
extr_linuxfsnfsdnfs4xdr.c_attributes_need_mount.c,16,16
extr_linuxdriversstagingrtlwifihalmachalmac_88xx....wifi.h_get_rf_type.c,7,7
extr_linuxdriversmfdtwl-core.c_twl4030_49_nop_reg.c,21,21
extr_linuxarcharm64kerneldebug-monitors.c_set_regs_spsr_ss.c,9,9
extr_linuxcryptomichael_mic.c_xswap.c,12,12
extr_linuxdriversregulatorqcom-rpmh-regulator.c_rpmh_regulator_pmic4_bob_of_map_mode.c,21,21
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_SP_VS_PVT_MEM_PARAM_REG_MEMSIZEPERITEM.c,9,9
extr_anypixelfirmwaredisplaysrcfifo.c_FIFO_available.c,9,9
extr_swayswaytreeoutput.c_output_from_wlr_output.c,7,7
extr_linuxdriversgpiogpio-crystalcove.c_to_reg.c,17,17
extr_linuxkerneldebugdebug_core.c_kgdb_nmicallin.c,10,10
extr_linuxdriversinfinibandulpopa_vnicopa_vnic_ethtool.c_vnic_get_sset_count.c,13,13
extr_mpvvideooutd3d11ra_d3d11.c_map_ra_blend.c,16,16
extr_darwin-xnubsdnetif_bond.c_bondport_flags_ntt.c,12,12
extr_linuxkerneltracetracing_map.c_tracing_map_add_var.c,19,19
extr_linuxarchx86kernelamd_gart_64.c_gart_mapping_error.c,11,11
extr_linuxkerneltracetrace.h_trace_parser_cont.c,7,7
extr_linuxdriversacpiinternal.h_register_dock_dependent_device.c,6,6
extr_FFmpeglibavcodecmipsiirfilter_mips.c_ff_iir_filter_init_mips.c,5,5
extr_linuxdriversstaginggasketgasket_page_table.c_gasket_components_to_dev_address.c,23,23
